Nom_valide,Nom_français,Règne,Classe,Ordre,Famille,CD_REF,CD_NOM
"Ensis leei M. Huber, 2015","Couteau americain, Couteau etroit",Animalia (Animaux),Bivalvia (Bivalves),Adapedonta,Pharidae,885584,885584
"Etiella zinckenella (Treitschke, 1832)",Pyrale du haricot vert,Animalia (Animaux),Insecta (Insectes),Lepidoptera (Papillons),Pyralidae,248015,248015
"Faxonius limosus (Rafinesque, 1817)",Ecrevisse americaine (L'),Animalia (Animaux),Malacostraca (Malacostraces),Decapoda (Decapodes),Cambaridae,853999,853999
"Ficopomatus enigmaticus (Fauvel, 1923)",Mercierelle,Animalia (Animaux),"Polychaeta (Vers anneles marins, Polychetes)",Sabellida,Serpulidae,366400,366400
"Fistularia commersonii Ruppell, 1838",Trompette,Animalia (Animaux),"Actinopterygii (Actinopterygiens, Poissons actinopterygiens)",Syngnathiformes (Hippocampes),Fistulariidae,424218,424218
"Grateloupia turuturu Yamada, 1941",Grateloupe du Pacifique,Plantae (Plantes),Florideophyceae,Halymeniales,Halymeniaceae,627497,627497
"Hakea decurrens R.Br., 1830",Hakea decurrent,Plantae (Plantes),Equisetopsida (Equisetopsides),Proteales (Proteales),Proteaceae (Proteacees),1002319,1002319
"Halophila stipulacea (Forssk.) Asch., 1867",Halophile stipulee,Plantae (Plantes),Equisetopsida (Equisetopsides),Alismatales (Alismatales),Hydrocharitaceae (Hydrocharitacees),368620,368620
"Halyomorpha halys (St?l, 1855)",Punaise diabolique,Animalia (Animaux),Insecta (Insectes),"Hemiptera (Cigales, Cochenilles, Pucerons, Punaises)",Pentatomidae,720069,720069
"Harmonia axyridis (Pallas, 1773)","Coccinelle asiatique (la), Coccinelle arlequin (La)",Animalia (Animaux),Insecta (Insectes),Coleoptera (Coleopteres),Coccinellidae (Coccinelles),459325,459325
"Helianthus tuberosus L., 1753","Helianthe tubereux, Topinambour, Patate de Virginie",Plantae (Plantes),Equisetopsida (Equisetopsides),Asterales (Asterales),Asteraceae (Asteracees),101055,101055
"Hemigrapsus sanguineus (De Haan, 1835)","Crabe sanguin (Le), Crabe japonais (Le)",Animalia (Animaux),Malacostraca (Malacostraces),Decapoda (Decapodes),Varunidae,593842,593842
"Hemigrapsus takanoi Asakura & Watanabe, 2005",Crabe a pinceaux (Le),Animalia (Animaux),Malacostraca (Malacostraces),Decapoda (Decapodes),Varunidae,593844,593844
"Heracleum mantegazzianum Sommier & Levier, 1895","Berce du Caucase, Berce de Mantegazzi",Plantae (Plantes),Equisetopsida (Equisetopsides),Apiales (Apiales),Apiaceae (Apiacees),101286,101286
"Hydrocotyle ranunculoides L.f., 1782","Hydrocotyle fausse renoncule, Hydrocotyle a feuilles de Renoncule",Plantae (Plantes),Equisetopsida (Equisetopsides),Apiales (Apiales),Araliaceae (Araliacees),103139,103139
"Hymenoscyphus fraxineus (T.Kowalski) Baral, Queloz & Hosoya, 2014",Agent de la chalarose du frene,Fungi (Champignons),Leotiomycetes,Helotiales,Helotiaceae,893794,893794
"Hyphantria cunea (Drury, 1773)",Ecaille fileuse (L'),Animalia (Animaux),Insecta (Insectes),Lepidoptera (Papillons),Erebidae,249066,249066
