Genre,Famille,Ordre,Classe,Règne,Groupe_Grand_Public,CD_REF,Nom scientifique,CD_NOM
Glaucopsyche,Lycaenidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,54075,"Glaucopsyche alexis (Poda, 1761)",54075
Glaucopsyche,Lycaenidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,54077,"Glaucopsyche melanops (Boisduval, 1828)",54077
Gomphoceridius,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,593309,"Gomphoceridius brevipennis (Brisout de Barneville, 1848)",593309
Gomphocerippus,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,66114,"Gomphocerippus rufus (Linnaeus, 1758)",66114
Gomphocerus,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,66111,"Gomphocerus sibiricus (Linnaeus, 1767)",66111
Stylurus,Gomphidae,Odonata,Insecta,Animalia,Insectes et araignees,65234,"Gomphus flavipes (Charpentier, 1825)",65236
Gomphus,Gomphidae,Odonata,Insecta,Animalia,Insectes et araignees,65231,"Gomphus graslinii Rambur, 1842",65231
Gomphus,Gomphidae,Odonata,Insecta,Animalia,Insectes et araignees,65227,"Gomphus pulchellus Selys, 1840",65227
Gomphus,Gomphidae,Odonata,Insecta,Animalia,Insectes et araignees,653291,"Gomphus simillimus Selys, 1840",653291
Gomphus,Gomphidae,Odonata,Insecta,Animalia,Insectes et araignees,65225,"Gomphus vulgatissimus (Linnaeus, 1758)",65225
Gomphus,Gomphidae,Odonata,Insecta,Animalia,Insectes et araignees,0,"Gomphus Charpentier, 1825",0
Gonepteryx,Pieridae,Lepidoptera,Insecta,Animalia,Insectes et araignees,54419,"Gonepteryx cleopatra (Linnaeus, 1767)",54419
Gonepteryx,Pieridae,Lepidoptera,Insecta,Animalia,Insectes et araignees,54417,"Gonepteryx rhamni (Linnaeus, 1758)",54417
Gonepteryx,Pieridae,Lepidoptera,Insecta,Animalia,Insectes et araignees,0,"Gonepteryx Leach, 1815",0
Gryllomorpha,Gryllidae,Orthoptera,Insecta,Animalia,Insectes et araignees,535759,"Gryllomorpha dalmatina dalmatina (Ocskay, 1832)",535759
Gryllomorpha,Gryllidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65938,"Gryllomorpha dalmatina (Ocskay, 1832)",65938
Gryllotalpa,Gryllotalpidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65899,"Gryllotalpa gryllotalpa (Linnaeus, 1758)",65899
Gryllotalpa,Gryllotalpidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65898,"Gryllotalpa septemdecimchromosomica Ortiz, 1958",65898
Gryllotalpa,Gryllotalpidae,Orthoptera,Insecta,Animalia,Insectes et araignees,79308,"Gryllotalpa vineae Bennet-Clark, 1970",79308
Gryllotalpa,Gryllotalpidae,Orthoptera,Insecta,Animalia,Insectes et araignees,0,"Gryllotalpa Latreille, 1802",0
Gryllus,Gryllidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65909,"Gryllus bimaculatus De Geer, 1773",65909
Gryllus,Gryllidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65910,"Gryllus campestris Linnaeus, 1758",65910
Hamearis,Riodinidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53969,"Hamearis lucina (Linnaeus, 1758)",53969
Hesperia,Hesperiidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53332,"Hesperia comma (Linnaeus, 1758)",53332
Heteropterus,Hesperiidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53312,"Heteropterus morpheus (Pallas, 1771)",53312
Hipparchia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53397,"Hipparchia aristaeus (Bonelli, 1826)",53397
Hipparchia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53376,"Hipparchia fagi (Scopoli, 1763)",53376
Hipparchia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53378,"Hipparchia fidia (Linnaeus, 1767)",53378
Hipparchia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,219807,"Hipparchia genava (Fruhstorfer, 1908)",219807
Hipparchia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53379,"Hipparchia hermione (Linnaeus, 1767)",610403
Hipparchia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53389,"Hipparchia neomiris (Godart, 1823)",53389
Hipparchia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53391,"Hipparchia semele (Linnaeus, 1758)",53391
Hipparchia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,219806,"Hipparchia statilinus (Hufnagel, 1766)",219806
Hipparchia,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,0,"Hipparchia Fabricius, 1807",0
Hyponephele,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53678,"Hyponephele lupinus (O. Costa, 1836)",219798
Hyponephele,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,53676,"Hyponephele lycaon (Rottemburg, 1775)",53676
Hyponephele,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,0,"Hyponephele Muschamps, 1915",0
Aglais,Nymphalidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,608364,"Inachis io (Linnaeus, 1758)",53736
Glaucopsyche,Lycaenidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,219787,"Iolana iolas (Ochsenheimer, 1816)",54095
Iphiclides,Papilionidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,219824,"Iphiclides feisthamelii (Duponchel, 1832)",219824
Iphiclides,Papilionidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,54475,"Iphiclides podalirius (Linnaeus, 1758)",54475
Iphiclides,Papilionidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,0,"Iphiclides Hubner, 1819",0
Ischnura,Coenagrionidae,Odonata,Insecta,Animalia,Insectes et araignees,65109,"Ischnura elegans (Vander Linden, 1820)",65109
Ischnura,Coenagrionidae,Odonata,Insecta,Animalia,Insectes et araignees,65113,"Ischnura genei (Rambur, 1842)",65113
Ischnura,Coenagrionidae,Odonata,Insecta,Animalia,Insectes et araignees,65121,"Ischnura graellsii (Rambur, 1842)",65121
Ischnura,Coenagrionidae,Odonata,Insecta,Animalia,Insectes et araignees,65115,"Ischnura pumilio (Charpentier, 1825)",65115
Ischnura,Coenagrionidae,Odonata,Insecta,Animalia,Insectes et araignees,0,"Ischnura Charpentier, 1840",0
